행정구역별(읍면동),연령별,2018,2018,2018,2018,2018,2018,2018,2018
행정구역별(읍면동),연령별,총인구(명),총인구_남자(명),총인구_여자(명),총인구_성비,내국인(명),내국인_남자(명),내국인_여자(명),내국인_성비
　　　창녕군,합계,"62,703","31,746","30,957",102.5,"59,142","29,330","29,812",98.4
　　　고성군,합계,"51,778","26,326","25,452",103.4,"50,009","25,081","24,928",100.6
　　　남해군,합계,"42,696","20,796","21,900",95.0,"41,615","19,942","21,673",92.0
　　　하동군,합계,"43,001","21,043","21,958",95.8,"42,282","20,738","21,544",96.3
　　　산청군,합계,"34,122","16,597","17,525",94.7,"33,227","16,151","17,076",94.6
　　　함양군,합계,"38,005","18,230","19,775",92.2,"37,432","17,953","19,479",92.2
　　　거창군,합계,"60,020","29,398","30,622",96.0,"59,363","29,091","30,272",96.1
　　　합천군,합계,"42,856","20,498","22,358",91.7,"42,156","20,146","22,010",91.5
　　　읍부,합계,"147,773","76,399","71,374",107.0,"138,640","70,329","68,311",103.0
　　　면부,합계,"35,323","18,331","16,992",107.9,"33,305","16,969","16,336",103.9
　　　동부,합계,"475,186","238,289","236,897",100.6,"461,050","230,837","230,213",100.3
　　　제주시,합계,"482,932","243,656","239,276",101.8,"465,700","233,760","231,940",100.8
　　　서귀포시,합계,"175,350","89,363","85,987",103.9,"167,295","84,375","82,920",101.8
